concept	schema	description
儿童防踢被神器	人生阶段:幼儿	对象:儿童|功能:防踢被
儿童防雾霾	人生阶段:幼儿	对象:儿童|功能:防雾霾
儿童骑行车	人生阶段:幼儿	对象:儿童|品类:骑行车
充电攀爬车		功能:充电|品类:攀爬车
公主贴纸换装	性别:女	风格:公主|品类:贴纸|事件:换装
公主风床上用品	性别:女	风格:公主|品类:床上用品
写字玩具		事件:写字|品类:玩具
写字画板		事件:写字|品类:画板
冬天室内保暖		时间:冬天|空间:室内|功能:保暧
冰箱储物		品类:冰箱|功能:收纳
冰箱清洁用品		品类:冰箱,用品|功能:清洁
减压书包		功能:减压|品类:书包
减压护脊书包		功能:减负护脊|品类:书包
减压水晶泥		功能:减压|品类:水晶泥
减压道具		功能:减压|品类:道具
减负背包		功能:减压|品类:背包
减负防水书包		功能:减压,防水|品类:书包
减龄装扮		功能:减龄|事件:穿搭
切蔬菜玩具		事件:切割食材|品类:玩具
创意学习玩具		风格:创意|事件:学习|品类:玩具
创意宅家神器		风格:创意|事件:下班宅家|品类:神器
创意情侣礼物	年龄:青年,成人	风格:创意|对象:爱人|品类:礼物
创意新婚礼物		风格:创意|事件:新婚|品类:礼物
创意汽车用品		风格:创意|品类:汽车,用品
创意玩具礼物		风格:创意|品类:玩具,礼物
创意生日礼物		风格:创意|时间:生日|品类:礼物
创意装饰		风格:创意|品类:装饰
初中生学习用品	人生阶段:初中	事件:学习|品类:用品
初中课外书籍	人生阶段:初中	品类:课外书
制作蛋糕材料		事件:制作蛋糕|品类:材料
刷牙用品		事件:刷牙|品类:用品
削水果神器		事件:削水果|品类:神器
剔牙神器		事件:出牙齿|品类:神器
剪发用品		事件:理发|品类:用品
办公取暖用品		事件:办公|功能:取暖|品类:用品
办公室取暖神器		事件:办公|功能:取暖|品类:神器
办公室收纳		事件:办公|功能:收纳
办公室香薰		事件:办公|功能:香薰
办公族茶叶产品		对象:工作族|品类:茶叶
办公用品		事件:办公|品类:用品
办公神器		事件:办公|品类:神器
动手益智玩具		事件:动手|功能:益智|品类:玩具
动漫自拍周边		风格:卡通风|事件:自拍
单人间装饰		对象:单人|品类:装饰
卡通储物		风格:卡通|功能:收纳
卡通可爱礼物		风格:卡通,可爱|品类:礼物
卡通礼物		风格:卡通|品类:礼物
卧室储物		空间:卧室|功能:收纳
卧室收纳		空间:卧室|功能:收纳
卫浴收纳用品		功能:收纳
厨房做饭厨具		空间:厨房|事件:做饭|品类:厨具
厨房切割用品		空间:厨房|功能:切割|品类:用品
厨房去油污用品		空间:厨房|功能:去油污|品类:用品
厨房煲汤用品		空间:厨房|品类:煲汤,用品
厨房用品储物		空间:厨房|品类:用品|功能:收纳
厨房省力用品		空间:厨房|功能:省力|品类:用品
厨房防污用品		空间:厨房|功能:抗污|品类:用品
厨房除湿		空间:厨房|功能:除湿
去异味用品		功能:除甲醛去异味|品类:用品
去痘用品		功能:消痘|品类:用品
去角质		功能:亮白肌肤
去角质产品		功能:亮白肌肤
发光发箍		功能:发光|品类:发箍
发光发饰		功能:发光|品类:发饰
发光娃娃		功能:发光|品类:娃娃
发光小礼物		功能:发光|品类:礼物
发光玩具		功能:发光|品类:玩具
发光电动玩具		功能:发光|品类:玩具
发光运动鞋		功能:发光|品类:运动鞋
变魔术的工具		事件:变魔术|品类:工具
古典益智玩具		风格:古典|功能:益智|品类:玩具
古典耳饰搭配		风格:古典|品类:耳饰
古装摄影服装		品类:古装,服装|事件:拍摄
古风礼物		风格:古典|品类:礼物
可充电玩具		功能:可充电|品类:玩具
可折叠三轮车		功能:折叠|品类:三轮车
可折叠伞车		功能:折叠|品类:伞车
可折叠单车		功能:折叠|品类:单车
可折叠座椅		功能:折叠|品类:座椅
可折叠洗澡盆		功能:折叠|品类:洗澡盆
可折叠浴盆		功能:折叠|品类:浴盆
可折叠澡盆		功能:折叠|品类:澡盆
可折叠盆		功能:折叠|品类:盆
可拆装玩具		功能:可拆装|品类:玩具
可水洗颜料		功能:可水洗|品类:颜料
可爱妹子穿搭	性别:女	风格:可爱|对象:女士
可爱生日礼物		风格:可爱|时间:生日|品类:礼物
可调节孕妇裤	性别:女|人生阶段:孕期	功能:可调节|品类:孕妇裤
可调节椅子		功能:可调节|品类:椅子
吃饭娃娃		事件:进餐|品类:娃娃
吃饭座椅		事件:进餐|品类:座椅
吃饭用的围兜		功能:吃饭用|品类:围兜
吃饭的餐具		事件:进餐|品类:餐具
哺乳外出衣服	性别:女|人生阶段:新生儿	功能:哺乳|事件:出游|品类:衣服
哺乳家居服	性别:女|人生阶段:新生儿	功能:哺乳|品类:家居服
哺乳针织裙	性别:女|人生阶段:新生儿|年龄:产后,成人	功能:哺乳|品类:针织裙
